Name,City,Category,Overall Score,Grade,Data Complete,Contact Quality,Online Presence,Reputation,Business Size,Strengths,Weaknesses
"Cabernet Grill Texas Wine Country Restaurant","Austin","Restaurant","76","B+","75","100","40","98","50","Excellent contact info; Highly rated","N/A"
"Carillon Restaurant","Austin","Restaurant","76","B+","75","100","40","95","50","Excellent contact info; Highly rated","N/A"
"Congress","Austin","Restaurant","76","B+","75","100","40","95","50","Excellent contact info; Highly rated","N/A"
"Fleming's Prime Steakhouse & Wine Bar - Austin The Domain","Austin","Restaurant","76","B+","75","100","40","95","50","Excellent contact info; Highly rated","N/A"
"Fogo de Chao Brazilian Steakhouse - Austin","Austin","Restaurant","76","B+","75","100","40","95","50","Excellent contact info; Highly rated","N/A"
"III Forks Austin","Austin","Restaurant","76","B+","75","100","40","98","50","Excellent contact info; Highly rated","N/A"
"Main Street Grill","Austin","Restaurant","76","B+","75","100","40","95","50","Excellent contact info; Highly rated","N/A"
"Olivia","Austin","Restaurant","76","B+","75","100","40","95","50","Excellent contact info; Highly rated","N/A"
"Peche","Austin","Restaurant","76","B+","75","100","40","95","50","Excellent contact info; Highly rated","N/A"
"Perry's Steakhouse & Grille - Downtown","Austin","Restaurant","76","B+","75","100","40","98","50","Excellent contact info; Highly rated","N/A"
"Restaurant Jezebel","Austin","Restaurant","76","B+","75","100","40","95","50","Excellent contact info; Highly rated","N/A"
"Trattoria Lisina","Austin","Restaurant","76","B+","75","100","40","98","50","Excellent contact info; Highly rated","N/A"
"Truluck's Seafood, Steak and Crab House - Austin Arboretum","Austin","Restaurant","76","B+","75","100","40","98","50","Excellent contact info; Highly rated","N/A"
"Truluck's Seafood, Steak and Crab House - Austin Downtown","Austin","Restaurant","76","B+","75","100","40","98","50","Excellent contact info; Highly rated","N/A"
"Uchiko","Austin","Restaurant","76","B+","75","100","40","98","50","Excellent contact info; Highly rated","N/A"
"Vince Young Steakhouse","Austin","Restaurant","76","B+","75","100","40","98","50","Excellent contact info; Highly rated","N/A"
"ALC Steaks (Austin Land & Cattle)","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"ASTI Trattoria","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"August E's","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Bess Bistro","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Bob's Steak and Chop House - Austin","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Botticelli's","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Buca di Beppo - Austin","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Cafe Malta","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Cantina Laredo - Austin","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Carmelo's Ristorante Italiano - Austin","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Chez Zee","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Cipollina","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Clay Pit","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Cool River Cafe - Austin","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Cypress Grill","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Daily Grill - Austin","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"El Alma Cafe y Cantina","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"El Chile Cafe y Cantina","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"El Naranjo","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Estancia Churrascaria - Arboretum","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Fleming's Prime Steakhouse & Wine Bar - Austin","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Fore","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Haddingtons","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"HomeField Grill","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Hyde Park Bar & Grill - Duval","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Imperia","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
